horse_id,race_id,日付,レース名,開催,場名,num_horses,馬番,着順,距離,芝・ダート,天気,馬場,走破時間,上がり,斤量,騎手,jockey_id,オッズ,人気,通過順,馬体重,体重変化,着差,ペース,性,齢,is_jra_race,データソース
2018106084,202505050311,2025年11月15日,武蔵野S(GIII),5東京3,東京,16.0,14.0,9.0,,ダ,晴,良,1:36.2,36.2,58.0,藤岡佑介,01093,11.8,5.0,3-2,530.0,-2.0,1.0,35.3-35.5,,,True,individual_page_result
2018106084,202535101312,2025年10月13日,マイルチャンピオンシ(JpnI),盛岡,盛岡,16.0,10.0,3.0,,ダ,晴,良,1:35.6,37.3,57.0,藤岡佑介,01093,3.5,2.0,1-2,532.0,0.0,1.3,,,,False,individual_page_result
2018106084,2025,2025年04月05日,ゴドルフィンマイル(GII),メイダン,メイダン,16.0,11.0,11.0,,ダ,,良,,,57.0,藤岡佑介,01093,,2.0,,,,,,,,False,individual_page_result
2018106084,202505010811,2025年02月23日,フェブラリーS(GI),1東京8,東京,16.0,11.0,4.0,,ダ,晴,良,1:35.9,35.8,58.0,藤岡佑介,01093,6.2,4.0,7-7,532.0,-2.0,0.4,35.0-36.1,,,True,individual_page_result
2018106084,202407040211,2024年12月01日,チャンピオンズC(GI),4中京2,中京,16.0,4.0,5.0,,ダ,晴,良,1:50.5,37.1,58.0,藤岡佑介,01093,6.8,3.0,3-3-2-2,534.0,4.0,0.4,36.0-36.9,,,True,individual_page_result
2018106084,202435101412,2024年10月14日,マイルチャンピオンシ(JpnI),盛岡,盛岡,15.0,14.0,2.0,,ダ,晴,良,1:36.0,36.6,57.0,藤岡佑介,01093,4.8,2.0,2-2,530.0,-2.0,0.1,,,,False,individual_page_result
2018106084,202443050111,2024年05月01日,かしわ記念(JpnI),船橋,船橋,13.0,10.0,3.0,,ダ,雨,不,1:39.7,39.4,57.0,藤岡佑介,01093,5.4,3.0,2-2-2-2,532.0,4.0,0.7,35.6-39.1,,,False,individual_page_result
2018106084,202405010811,2024年02月18日,フェブラリーS(GI),1東京8,東京,16.0,9.0,1.0,,ダ,晴,良,1:35.7,37.5,58.0,藤岡佑介,01093,38.0,11.0,4-4,528.0,-6.0,-0.2,33.9-37.8,,,True,individual_page_result
2018106084,202408010711,2024年01月21日,東海テレビ杯東海S(GII),1京都7,京都,16.0,6.0,6.0,,ダ,曇,重,1:49.7,36.2,57.0,藤岡佑介,01093,6.3,3.0,4-5-4-3,534.0,4.0,0.5,36.5-36.0,,,True,individual_page_result
2018106084,202309050911,2023年12月28日,ベテルギウスS(L),5阪神9,阪神,15.0,15.0,1.0,,ダ,晴,良,1:52.1,36.9,59.0,藤岡佑介,01093,6.1,2.0,3-3-3-5,530.0,-4.0,-0.1,37.1-37.2,,,True,individual_page_result
