horse_id,馬名,今回馬番,日付,レース名,開催,着順,is_jra,場名,距離,芝・ダート,走破時間,上がり,通過順,馬体重,体重変化,斤量,騎手,jockey_id,枠番,馬番,天気,馬場,オッズ,人気,race_id
2021107180,ジュンヴァンケット,1.0,2025-10-05,3歳以上2勝クラス,3京都2,2.0,True,京都,1200.0,芝,1:08.0,34.7,1-1,462.0,0.0,58.0,松山弘平,01126,7.0,13.0,曇,稍,4.0,1.0,202508030212
2021107180,ジュンヴァンケット,1.0,2025-08-16,知多特別(2勝クラス),3中京7,2.0,True,中京,1200.0,芝,1:07.3,33.6,2-2,462.0,6.0,58.0,坂井瑠星,01163,5.0,7.0,晴,良,5.0,2.0,202507030706
2021107180,ジュンヴァンケット,1.0,2025-05-31,4歳以上2勝クラス,2京都11,7.0,True,京都,1400.0,芝,1:21.4,35.9,1-1,456.0,-2.0,58.0,坂井瑠星,01163,2.0,2.0,曇,良,2.6,1.0,202508021112
2021107180,ジュンヴァンケット,1.0,2025-05-03,御池特別(2勝クラス),2京都3,2.0,True,京都,1400.0,芝,1:21.0,35.0,1-1,458.0,-2.0,58.0,坂井瑠星,01163,2.0,2.0,晴,良,2.5,2.0,202508020310
2021107180,ジュンヴァンケット,1.0,2025-03-16,皆生特別(2勝クラス),1阪神6,4.0,True,阪神,1600.0,芝,1:34.8,36.8,1-1,460.0,-4.0,58.0,Ｍ．デム,05212,2.0,2.0,雨,重,2.5,1.0,202509010609
2019103806,ベルウッドブラボー,2.0,2025-05-31,4歳以上2勝クラス,2京都11,9.0,True,京都,1400.0,芝,1:21.5,34.2,10-11,460.0,-8.0,58.0,吉田隼人,01095,8.0,13.0,曇,良,53.3,12.0,202508021112
2019103806,ベルウッドブラボー,2.0,2025-05-03,御池特別(2勝クラス),2京都3,5.0,True,京都,1400.0,芝,1:21.6,34.3,6-6,468.0,6.0,58.0,田口貫太,01208,8.0,8.0,晴,良,37.5,5.0,202508020310
2019103806,ベルウッドブラボー,2.0,2025-04-19,丹波特別(2勝クラス),2阪神7,11.0,True,阪神,1400.0,芝,1:20.9,33.5,13-14,462.0,2.0,54.0,田口貫太,01208,5.0,7.0,晴,良,123.6,13.0,202509020710
2019103806,ベルウッドブラボー,2.0,2025-03-23,讃岐特別(2勝クラス),1阪神8,8.0,True,阪神,1400.0,芝,1:21.3,35.9,10-10,460.0,0.0,58.0,田口貫太,01208,8.0,12.0,晴,良,173.3,13.0,202509010809
2019103806,ベルウッドブラボー,2.0,2025-03-01,4歳以上2勝クラス,1阪神1,7.0,True,阪神,1400.0,芝,1:20.8,34.7,14-14,460.0,-10.0,57.0,田口貫太,01208,6.0,11.0,晴,良,154.4,13.0,202509010112
